Data Type Code,Data Type Description,Data Time,Data Value,Unit
QCO,MANUAL-Observed Discharge 4,2008-09-07T08:00:00,28.81,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-09-08T08:00:00,29.46,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-09-09T08:00:00,32.13,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-09-14T08:00:00,4.94,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-09-15T08:00:00,4.089,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-09-16T08:00:00,3.821,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-09-20T08:00:00,2.177,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-09-21T08:00:00,1.784,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-09-26T08:00:00,0.691,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-09-27T08:00:00,0.691,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-09-28T08:00:00,0.573,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-02T08:00:00,0.136,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-03T08:00:00,0.082,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-04T08:00:00,0.041,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-05T08:00:00,18.74,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-09T08:00:00,7.2,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-11T08:00:00,5.862,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-12T08:00:00,4.94,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-13T08:00:00,4.365,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-14T08:00:00,2.832,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-19T08:00:00,3.745,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-20T08:00:00,4.588,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-21T08:00:00,4.588,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-22T08:00:00,4.588,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-26T08:00:00,28.49,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-27T08:00:00,18.68,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-28T08:00:00,16.52,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-10-29T08:00:00,13.99,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-02T08:00:00,3.745,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-06T08:00:00,3.481,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-07T08:00:00,3.226,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-08T08:00:00,2.743,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-09T08:00:00,2.514,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-13T08:00:00,2.743,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-14T08:00:00,2.514,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-15T08:00:00,2.295,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-16T08:00:00,2.085,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-20T08:00:00,1.173,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-21T08:00:00,0.741,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-22T08:00:00,0.618,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-23T08:00:00,0.504,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-27T08:00:00,0.401,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-28T08:00:00,0.401,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-29T08:00:00,0.741,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-11-30T08:00:00,0.741,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-12-04T08:00:00,0.876,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-12-05T08:00:00,0.742,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-12-06T08:00:00,0.504,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-12-07T08:00:00,0.504,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-12-09T08:00:00,0.228,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-12-11T08:00:00,0.054,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-05-22T08:00:00,50.88,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-05-23T08:00:00,37.81,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-05-24T08:00:00,1.885,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-08-23T08:00:00,6.105,m3/sec
