Data Type Code,Data Type Description,Data Time,Data Value,Unit
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-28T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-29T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-29T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-30T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-30T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-31T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-31T17:30:02,77,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-01T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-01T17:30:02,82,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-02T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-02T17:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-03T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-03T17:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-04T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-04T17:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-05T08:30:02,87,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-05T17:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-06T08:30:02,74,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-06T17:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-07T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-07T17:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-08T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-08T17:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-09T08:30:02,82,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-09T17:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-10T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-10T17:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-11T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-11T17:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-12T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-12T17:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-13T08:30:02,82,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-13T17:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-14T08:30:02,81,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-14T17:30:02,82,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-15T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-15T17:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-16T08:30:02,82,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-16T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-17T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-17T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-18T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-18T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-19T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-19T17:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-20T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-20T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-21T08:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-21T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-22T08:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-22T17:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-23T08:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-23T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-24T08:30:02,82,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-24T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-25T08:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-25T17:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-26T08:30:02,82,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-26T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-27T08:30:02,81,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-27T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-28T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-28T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-29T08:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-29T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-30T08:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-11-30T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-01T08:30:02,81,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-01T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-02T08:30:02,81,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-02T17:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-03T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-03T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-04T08:30:02,82,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-04T17:30:02,82,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-05T08:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-05T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-06T08:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-06T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-07T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-07T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-08T08:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-08T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-09T08:30:02,81,%
